
IP: ::1, Method GET, Endpoint /assignments/10
IP: ::1, Method GET, Endpoint /assignments/
IP: ::1, Method DELETE, Endpoint /assignments/5
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method PUT, Endpoint /assignments
IP: ::1, Method PUT, Endpoint /assignments/5
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method DELETE, Endpoint /assignments/5
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments/4
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments/2
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments/3
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method DELETE, Endpoint /assignments/6
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments/6
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
IP: ::1, Method POST, Endpoint /assignments
